ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
6393,A,Flight,3,5,169,3,high,F,5,5750
6394,D,Flight,5,5,169,3,medium,M,2,5942
6395,B,Ship,6,3,250,4,low,M,9,1618
6396,F,Ship,3,3,137,3,low,F,8,4742
6397,A,Ship,3,2,215,4,high,M,1,4158
6398,D,Ship,3,1,271,3,low,M,4,4108
6399,F,Ship,3,1,200,2,medium,M,8,4337
6400,F,Ship,3,4,247,3,medium,M,9,5383
6401,B,Road,5,3,194,4,low,F,2,5396
6402,B,Ship,3,1,151,2,low,F,4,1748
6403,D,Ship,4,1,240,4,low,M,9,4471
6404,A,Road,4,3,167,2,medium,F,1,5409
6405,A,Road,3,4,247,3,low,M,10,5749
6406,F,Ship,6,5,308,4,low,M,4,1202
6407,C,Flight,4,3,250,2,medium,M,4,4808
6408,D,Ship,6,1,145,3,medium,F,1,4346
6409,F,Ship,3,4,220,3,medium,F,5,5078
6410,D,Ship,4,3,141,3,medium,F,3,4249
6411,C,Ship,3,3,143,3,low,M,64,1630
6412,F,Flight,3,4,164,10,medium,F,10,4134
6413,B,Ship,4,3,135,2,medium,F,53,1073
6414,F,Road,3,4,168,3,medium,M,5,5183
6415,A,Ship,4,2,133,3,low,M,2,1212
6416,A,Ship,4,1,177,2,medium,M,6,5566
6417,F,Ship,3,2,184,5,high,F,26,3336
6418,C,Ship,5,3,156,4,low,F,9,4098
6419,C,Ship,5,5,261,8,medium,M,39,2103
6420,B,Road,6,4,249,4,low,M,2,1516
6421,A,Ship,4,2,141,3,low,M,34,1619
6422,D,Ship,6,4,275,4,low,F,4,1192
6423,B,Ship,3,1,202,3,medium,M,5,1556
6424,F,Flight,5,5,190,4,medium,F,47,3644
6425,D,Ship,5,3,237,2,medium,M,3,5113
6426,A,Flight,5,1,267,5,low,F,4,1097
6427,A,Flight,4,3,239,3,medium,M,7,5511
6428,D,Ship,4,3,236,4,medium,M,1,5783
6429,D,Ship,4,5,238,10,medium,M,38,3556
6430,C,Ship,4,5,151,4,medium,M,3,5470
6431,D,Ship,3,1,231,2,low,M,24,3811
6432,F,Road,3,2,150,2,low,F,3,4174
6433,B,Ship,4,1,251,4,low,M,3,4433
6434,C,Flight,5,4,248,3,low,M,7,5335
6435,F,Ship,4,2,145,3,medium,F,4,5122
6436,A,Ship,6,3,305,4,low,M,3,1276
6437,F,Flight,4,1,146,3,low,F,1,4831
6438,B,Road,5,4,145,6,medium,M,6,4403
6439,D,Road,3,3,183,2,low,M,6,5015
6440,F,Ship,3,5,286,6,medium,M,3,4424
6441,C,Flight,3,2,163,3,medium,M,6,4323
6442,D,Flight,5,5,223,5,medium,F,5,1678
6443,F,Ship,4,5,261,2,medium,M,6,5920
6444,F,Ship,3,5,109,2,high,M,2,5978
6445,A,Ship,7,3,245,4,medium,F,10,1610
6446,A,Road,4,3,175,3,medium,F,4,5784
6447,F,Road,6,1,219,6,low,F,10,2385
6448,F,Ship,4,2,268,2,medium,F,8,4219
6449,C,Ship,4,1,229,4,medium,F,2,5378
6450,F,Ship,5,3,148,3,medium,F,48,1099
6451,C,Road,2,1,130,4,medium,F,10,4726
6452,A,Ship,4,2,272,3,medium,F,1,4933
6453,C,Ship,5,4,222,3,low,F,20,3632
6454,C,Ship,4,2,213,4,low,F,37,2184
6455,F,Ship,3,1,215,6,high,M,5,3432
6456,D,Ship,4,5,238,3,high,F,55,3257
6457,C,Ship,6,1,189,2,low,F,6,1269
6458,D,Ship,4,3,141,3,low,F,2,1915
6459,A,Ship,4,1,241,4,medium,M,5,5080
6460,C,Ship,4,1,293,3,low,M,8,1326
6461,D,Ship,6,4,269,2,high,M,47,4000
6462,F,Flight,3,5,184,3,medium,M,1,4161
6463,B,Ship,3,1,167,3,medium,M,10,4341
6464,D,Ship,2,3,163,3,low,F,4,4862
6465,A,Ship,6,2,309,4,medium,F,8,1289
6466,F,Flight,4,4,153,3,low,M,5,4624
6467,F,Ship,4,5,217,4,medium,M,37,2128
6468,B,Ship,5,3,230,3,medium,F,3,2923
6469,A,Ship,2,5,212,2,high,F,3,4389
6470,C,Ship,5,2,173,3,low,M,8,4797
6471,C,Ship,5,2,246,5,medium,F,9,1876
6472,F,Ship,6,4,137,8,low,F,9,4374
6473,C,Ship,3,3,182,4,low,M,7,1869
6474,C,Road,6,2,279,4,low,F,5,1836
6475,C,Road,4,2,231,6,low,M,8,5227
6476,D,Ship,5,1,135,3,low,F,10,5301
6477,F,Ship,7,1,192,3,low,M,38,1372
6478,C,Ship,6,4,147,3,low,M,4,4549
6479,B,Ship,5,1,158,2,medium,M,6,4873
6480,F,Ship,6,1,287,4,medium,F,1,1581
6481,F,Flight,4,1,189,3,medium,M,5,4133
6482,B,Ship,6,4,271,3,low,F,7,5192
6483,A,Ship,5,4,177,2,low,M,14,1735
6484,B,Road,4,1,197,3,low,M,2,4326
6485,D,Ship,6,2,135,5,low,M,26,1585
6486,F,Ship,4,5,188,5,low,F,1,5999
6487,F,Flight,4,4,196,3,low,M,5,5514
6488,D,Ship,4,2,223,3,low,M,7,4026
6489,F,Ship,4,5,272,2,medium,F,1,5378
6490,F,Flight,4,1,260,4,low,M,2,4091
6491,F,Flight,3,5,179,3,low,M,2,4913
6492,F,Ship,3,2,142,2,low,M,7,4082
6493,F,Ship,7,3,133,5,low,F,4,1783
6494,A,Road,4,1,170,10,medium,F,3,5211
6495,B,Ship,3,4,209,3,medium,F,60,2240
6496,A,Ship,4,3,192,4,low,F,2,1830
6497,F,Road,6,1,277,5,low,F,2,1190
6498,F,Road,5,5,169,4,medium,F,23,1922
6499,D,Ship,3,1,200,2,medium,M,27,2551
6500,D,Ship,2,1,219,4,low,M,7,5573
6501,D,Ship,4,5,248,4,low,F,2,4427
6502,F,Ship,3,3,155,3,low,F,3,5768
6503,C,Ship,3,3,146,2,low,M,50,1486
6504,C,Flight,3,5,162,2,high,M,1,4573
6505,B,Ship,4,4,171,2,low,M,4,4962
6506,B,Ship,5,5,167,3,medium,M,1,4314
6507,D,Ship,3,5,274,3,medium,M,5,4710
6508,B,Ship,5,5,171,2,medium,F,22,1695
6509,B,Ship,4,1,177,4,medium,F,33,1049
6510,A,Ship,5,1,158,2,low,M,4,5736
6511,F,Ship,3,2,154,3,low,F,6,5540
6512,D,Ship,5,3,243,6,medium,M,10,1729
6513,F,Ship,4,2,252,3,medium,F,4,5782
6514,B,Road,5,5,226,3,medium,M,23,2626
6515,D,Ship,2,1,277,6,low,M,10,4165
6516,F,Ship,5,5,167,3,low,F,53,1564
6517,F,Road,3,3,248,4,low,F,36,3276
6518,A,Road,5,1,174,5,medium,F,6,4677
6519,C,Flight,3,1,263,3,medium,M,4,4616
6520,F,Ship,5,3,141,3,low,M,9,4857
6521,F,Ship,3,3,158,3,low,F,6,1878
6522,F,Ship,5,2,265,3,low,M,10,4347
6523,F,Road,5,1,145,3,low,M,20,1387
6524,B,Road,4,3,265,2,medium,F,31,2326
6525,F,Flight,5,2,219,5,low,M,10,1276
6526,F,Ship,4,5,178,3,low,F,5,1012
6527,D,Ship,2,5,254,3,low,M,6,5684
6528,F,Flight,4,2,219,3,low,M,2,3402
6529,D,Flight,4,2,214,3,medium,F,20,2009
6530,B,Ship,4,5,148,2,low,M,2,4883
6531,D,Flight,3,1,168,4,medium,F,9,5136
6532,F,Ship,4,2,232,2,low,M,5,4907
6533,D,Ship,4,1,127,8,low,F,12,1519
6534,D,Ship,4,1,252,3,medium,F,30,2669
6535,A,Flight,5,4,143,5,medium,F,5,4393
6536,A,Ship,4,3,214,2,low,M,57,2078
6537,A,Ship,3,1,135,4,medium,M,47,1840
6538,A,Ship,4,2,242,3,medium,M,10,4721
6539,B,Ship,5,2,145,6,medium,M,9,4243
6540,F,Ship,4,5,146,3,low,F,9,1685
6541,B,Ship,5,1,229,4,medium,M,1,4584
6542,C,Ship,3,4,255,2,low,M,2,4504
6543,F,Ship,3,4,235,3,low,M,52,3447
6544,A,Ship,5,4,134,2,low,F,20,1549
6545,F,Ship,4,3,262,2,low,M,10,5524
6546,A,Flight,3,4,212,3,medium,F,13,2307
6547,B,Ship,4,3,178,6,low,M,6,4203
6548,A,Ship,6,1,283,5,low,F,5,1298
6549,C,Ship,7,4,282,5,low,M,5,1149
6550,A,Ship,5,5,257,3,medium,F,9,5972
6551,D,Road,5,3,111,4,medium,F,8,4575
6552,A,Flight,4,4,225,5,low,M,5,5060
6553,C,Road,6,2,134,8,high,M,42,1054
6554,B,Ship,3,4,226,3,medium,F,26,2299
6555,C,Ship,6,3,304,4,low,F,9,1401
6556,D,Ship,5,5,210,6,low,M,3,5051
6557,F,Ship,6,5,150,3,medium,M,3,5747
6558,A,Ship,3,1,258,2,low,F,4,5262
6559,A,Ship,3,3,143,3,medium,F,16,1343
6560,B,Ship,4,4,248,3,low,F,1,5198
6561,F,Ship,3,1,207,4,low,M,9,4252
6562,B,Ship,5,1,232,3,low,F,10,1014
6563,F,Ship,4,4,174,2,low,F,1,4541
6564,F,Flight,4,1,152,5,medium,M,8,5711
6565,B,Flight,3,1,267,2,low,M,7,4486
6566,D,Flight,5,1,196,3,medium,M,24,2957
6567,C,Ship,2,4,134,3,low,M,58,1067
6568,D,Ship,4,3,97,2,low,M,26,1598
6569,A,Ship,5,2,179,3,medium,M,5,4325
6570,F,Ship,6,3,306,4,high,F,5,1261
6571,C,Ship,5,1,194,3,medium,F,32,3003
6572,D,Ship,3,5,260,2,medium,M,1,5970
6573,B,Flight,5,1,202,4,low,F,2,5748
6574,D,Ship,3,5,227,4,low,F,9,4647
6575,A,Road,4,1,231,5,medium,F,10,1144
6576,D,Ship,4,4,221,3,medium,M,5,4024
6577,B,Ship,5,1,227,3,low,F,14,2589
6578,D,Ship,3,5,159,3,medium,M,9,4555
6579,C,Road,3,1,186,2,medium,M,3,5818
6580,A,Road,6,5,260,4,low,F,8,1347
6581,A,Ship,3,1,165,3,low,M,10,5823
6582,F,Road,6,3,276,4,low,F,5,1637
6583,F,Ship,4,3,257,3,medium,M,5,2489
6584,B,Ship,3,3,148,5,medium,M,61,1452
6585,B,Ship,4,3,244,3,low,M,7,4761
6586,F,Ship,3,3,212,3,medium,M,10,5724
6587,A,Road,2,2,165,3,medium,F,10,4080
6588,D,Road,5,5,161,3,low,F,1,4470
6589,F,Ship,3,4,165,2,medium,F,8,4280
6590,F,Ship,3,2,195,2,medium,M,8,4365
6591,C,Road,3,1,294,4,low,F,52,1089
6592,A,Ship,2,5,228,2,low,F,49,3024
6593,B,Ship,4,1,234,3,low,M,2,4282
6594,A,Ship,4,3,101,6,low,M,37,1344
6595,D,Ship,4,3,261,4,medium,M,9,5116
6596,C,Ship,4,4,243,3,high,F,4,5082
6597,A,Ship,4,5,245,3,low,F,7,4297
6598,A,Ship,4,5,159,5,low,F,7,4063
6599,D,Ship,3,3,267,2,low,M,18,2435
6600,A,Ship,5,3,270,5,medium,F,8,1862
6601,D,Ship,2,3,192,3,low,M,4,5524
6602,F,Ship,5,3,258,5,low,F,4,1665
6603,B,Ship,2,3,211,2,medium,M,2,4611
6604,D,Ship,3,2,245,2,low,F,7,4692
6605,F,Ship,5,2,176,4,low,M,10,5532
6606,A,Flight,5,5,137,3,medium,F,5,4814
6607,B,Ship,3,1,198,2,low,F,8,4940
6608,B,Ship,4,2,258,3,high,M,10,4643
6609,C,Road,4,3,207,10,low,F,9,4179
6610,F,Flight,3,5,208,3,low,M,1,4803
6611,D,Ship,3,1,144,3,medium,F,6,4163
6612,D,Ship,7,1,301,4,low,M,10,1869
6613,D,Ship,3,4,185,2,low,M,4,5926
6614,A,Road,4,2,163,3,low,F,27,1639
6615,A,Road,2,3,211,3,low,F,8,1172
6616,F,Flight,3,1,257,2,low,F,45,3496
6617,F,Flight,4,1,235,2,high,M,64,2107
6618,F,Ship,3,2,212,3,medium,F,9,2521
6619,D,Flight,5,4,263,3,medium,M,59,3978
6620,F,Ship,4,3,260,3,medium,F,4,5770
6621,F,Ship,4,1,271,4,low,M,9,5853
6622,B,Flight,6,2,259,4,medium,M,6,1066
6623,A,Road,3,2,185,2,high,F,49,3864
6624,F,Ship,5,1,276,5,medium,M,5,1358
6625,F,Ship,4,1,152,3,low,M,4,5299
6626,C,Ship,4,2,274,10,medium,F,29,2949
6627,F,Road,6,3,192,4,low,M,9,5239
6628,C,Ship,3,1,142,2,low,F,5,4728
6629,D,Flight,7,1,254,4,low,M,9,1876
6630,F,Ship,4,2,206,7,high,M,7,5479
6631,F,Road,3,2,199,2,medium,F,7,5531
6632,D,Ship,3,2,225,3,high,M,5,4304
6633,F,Ship,6,3,301,4,low,F,2,1083
6634,A,Ship,2,5,150,3,low,F,16,1738
6635,C,Ship,3,1,211,3,medium,M,1,4889
6636,F,Ship,3,3,237,4,low,F,8,5761
6637,C,Ship,5,2,181,3,low,M,4,4323
6638,D,Flight,4,2,181,2,low,F,28,2815
6639,F,Flight,4,2,245,5,low,M,8,1122
6640,B,Ship,2,1,212,2,high,F,8,4128
6641,F,Ship,5,2,249,3,medium,M,6,5212
6642,F,Ship,4,5,222,2,medium,M,2,4425
6643,F,Ship,2,3,151,3,medium,M,22,1024
6644,A,Ship,2,5,192,6,low,F,41,2673
6645,C,Ship,3,5,267,2,medium,M,4,4703
6646,B,Ship,3,4,185,2,low,F,62,2849
6647,F,Ship,4,2,229,4,low,M,8,5385
6648,D,Flight,5,1,189,3,medium,F,14,3318
6649,C,Ship,4,3,249,3,low,M,4,4811
6650,C,Flight,4,4,209,3,medium,M,7,4717
6651,F,Ship,3,4,176,3,medium,M,4,5623
6652,D,Ship,3,5,181,2,medium,M,2,4089
6653,F,Ship,5,2,169,3,medium,M,3,5692
6654,D,Ship,5,1,185,3,medium,F,7,4855
6655,F,Ship,4,4,261,2,medium,F,9,5306
6656,C,Flight,4,5,217,4,medium,F,3,5966
6657,F,Ship,3,1,132,3,low,F,2,4785
6658,D,Ship,3,1,132,2,medium,F,16,1731
6659,D,Ship,4,4,257,5,medium,F,9,1869
6660,F,Ship,7,2,300,4,medium,M,3,1070
6661,D,Road,4,1,270,3,medium,F,64,2406
6662,A,Ship,4,4,188,3,low,M,6,4174
6663,D,Ship,4,3,261,3,medium,F,2,4028
6664,F,Road,4,1,272,4,high,M,1,5597
6665,F,Ship,5,2,268,3,medium,F,41,3716
6666,A,Ship,4,2,156,3,low,M,3,5923
6667,F,Ship,3,1,139,2,medium,M,3,4226
6668,F,Ship,7,5,299,4,low,M,4,1052
6669,C,Ship,3,5,147,3,medium,M,8,5272
6670,B,Road,5,3,265,5,low,F,3,1005
6671,A,Ship,4,5,217,3,medium,M,2,5461
6672,F,Ship,4,5,224,6,high,F,5,5659
6673,F,Road,3,1,238,3,medium,F,6,5092
6674,F,Ship,6,5,294,4,medium,F,2,1273
6675,B,Ship,3,5,257,3,medium,F,19,2173
6676,B,Flight,4,3,148,3,medium,M,8,4240
6677,B,Ship,3,3,147,3,low,M,16,1563
6678,C,Ship,4,1,239,2,high,M,16,2504
6679,C,Ship,5,5,222,6,low,F,3,1861
6680,D,Ship,6,4,253,4,medium,M,9,1488
6681,C,Flight,6,2,271,4,medium,M,3,1636
6682,C,Flight,7,5,258,4,low,F,4,1677
6683,F,Ship,4,5,175,2,low,M,40,1270
6684,F,Road,3,1,221,10,medium,M,10,5473
6685,C,Ship,6,5,299,4,low,F,1,1629
6686,A,Flight,5,5,248,5,medium,M,8,1881
6687,B,Ship,3,1,231,3,medium,M,9,5148
6688,B,Ship,3,5,206,3,medium,F,6,5618
6689,A,Ship,2,1,104,7,low,M,30,1870
6690,D,Road,3,4,175,3,low,F,3,4449
6691,D,Ship,7,3,251,5,low,F,8,1616
6692,F,Ship,3,5,115,2,low,M,10,4200
6693,F,Ship,5,5,223,3,low,M,5,4373
6694,C,Ship,4,1,238,4,low,F,22,3950
6695,F,Road,4,4,162,2,medium,M,30,1158
6696,A,Ship,4,4,143,5,high,F,5,1027
6697,A,Ship,4,3,170,4,medium,F,9,4375
6698,A,Ship,4,2,173,2,medium,M,9,4307
6699,A,Ship,3,1,146,2,low,F,54,1528
6700,B,Road,2,3,225,7,high,M,7,4009
6701,C,Flight,5,5,246,5,low,F,6,1300
6702,A,Ship,6,4,271,4,low,F,6,1091
6703,B,Ship,6,5,258,4,low,M,5,1966
6704,D,Ship,2,1,228,3,high,F,1,5500
6705,F,Flight,6,1,261,4,medium,M,10,1290
6706,B,Road,4,1,237,3,medium,F,8,5668
6707,A,Ship,4,2,255,4,low,F,62,3198
6708,A,Ship,3,1,221,2,medium,F,6,5267
6709,F,Ship,6,4,195,5,high,F,10,4225
6710,B,Ship,4,1,173,4,low,F,1,5789
6711,B,Ship,4,1,147,3,medium,M,32,1666
6712,A,Ship,5,4,255,6,low,M,4,1255
6713,F,Ship,5,2,254,5,medium,F,4,1030
6714,F,Ship,5,2,243,2,medium,F,4,3681
6715,A,Road,5,1,177,2,medium,M,9,4881
6716,D,Ship,5,2,265,5,medium,F,5,1864
6717,D,Ship,3,3,218,3,medium,M,6,5288
6718,A,Ship,5,1,123,2,low,F,9,5497
6719,F,Road,4,3,140,8,medium,M,8,4065
6720,F,Ship,5,3,248,2,low,F,6,5863
6721,F,Ship,4,4,233,2,high,F,1,5320
6722,D,Ship,3,3,147,2,low,F,52,1040
6723,F,Ship,4,4,161,2,medium,M,59,1941
6724,D,Ship,3,3,237,5,low,M,48,2057
6725,F,Ship,6,2,305,4,low,M,2,1196
6726,A,Ship,5,5,145,2,medium,M,48,1834
6727,F,Ship,7,3,256,4,medium,M,4,1628
6728,F,Ship,3,1,193,4,low,M,5,4700
6729,B,Ship,4,3,244,3,medium,M,8,3318
6730,A,Ship,4,1,185,2,low,M,44,2910
6731,F,Ship,3,3,179,3,medium,M,52,1158
6732,D,Ship,5,5,123,2,low,F,60,1653
6733,F,Ship,4,5,235,4,medium,M,6,4633
6734,B,Ship,6,3,137,8,low,F,6,5992
6735,A,Road,3,2,214,2,high,F,7,4938
6736,B,Ship,3,1,140,2,low,F,8,5253
6737,F,Ship,4,5,263,3,medium,M,3,4020
6738,A,Ship,4,3,247,4,low,M,16,2362
6739,D,Road,3,5,271,4,low,M,51,1134
6740,D,Road,4,3,257,10,medium,F,3,5881
6741,F,Ship,6,4,254,5,medium,F,10,1435
6742,C,Ship,3,2,183,4,medium,F,12,2777
6743,F,Flight,5,2,171,3,low,M,3,4749
6744,F,Ship,4,1,140,2,low,M,8,4926
6745,F,Ship,4,5,135,3,low,F,3,4760
6746,F,Road,5,5,179,5,low,M,38,1437
6747,F,Ship,4,5,159,5,medium,F,2,5654
6748,F,Ship,4,2,246,2,low,M,2,4497
6749,F,Ship,3,3,162,2,low,F,26,1659
6750,B,Flight,2,2,310,3,low,M,1,1549
6751,B,Ship,3,2,198,3,low,M,15,3250
6752,D,Road,3,3,255,2,low,F,10,5632
6753,B,Ship,5,4,217,5,high,F,3,1007
6754,B,Road,4,2,265,6,low,M,8,1391
6755,B,Road,5,5,237,3,medium,M,5,4285
6756,B,Ship,3,2,255,3,medium,F,8,4471
6757,C,Ship,4,2,144,4,medium,F,2,4316
6758,D,Ship,3,2,185,2,high,F,3,4816
6759,B,Ship,4,4,196,4,low,F,10,4871
6760,A,Ship,3,1,274,4,medium,M,4,4057
6761,B,Road,4,3,274,3,high,F,7,5517
6762,A,Ship,6,5,251,4,medium,F,3,1660
6763,F,Ship,2,5,154,3,low,F,21,1113
6764,C,Ship,4,2,200,3,medium,M,7,4323
6765,A,Ship,4,1,202,3,low,M,7,4788
6766,C,Ship,6,4,304,4,low,M,7,1226
6767,D,Ship,3,3,197,2,medium,M,10,5255
6768,D,Ship,3,4,263,6,high,M,3,4429
6769,A,Ship,5,2,246,5,low,F,4,1072
6770,B,Ship,3,4,259,2,medium,F,3,4154
6771,C,Ship,4,2,142,10,high,F,9,4280
6772,F,Ship,4,2,225,8,low,F,8,5623
6773,A,Ship,4,4,280,5,low,F,3,5034
6774,F,Road,4,3,250,3,low,M,10,4316
6775,D,Ship,3,1,178,3,low,F,11,1481
6776,A,Ship,3,4,267,3,low,F,55,2923
6777,D,Ship,7,3,310,4,medium,F,7,1989
6778,B,Road,4,3,232,2,low,M,1,5398
6779,C,Ship,3,1,223,7,high,M,5,4439
6780,F,Ship,5,3,139,2,medium,F,3,5261
6781,D,Ship,4,3,161,6,low,M,6,5560
6782,F,Ship,5,1,241,5,low,F,5,1116
6783,C,Ship,4,4,267,3,medium,M,9,5254
6784,F,Road,4,4,263,3,medium,M,5,4193
6785,A,Ship,3,1,133,3,medium,F,5,4538
6786,F,Ship,4,4,133,4,high,F,10,5296
6787,F,Ship,3,4,162,2,medium,F,8,4972
6788,C,Flight,4,2,267,2,low,M,7,5746
6789,C,Ship,3,3,141,2,low,M,2,5923
6790,D,Flight,5,2,187,3,medium,M,11,2936
6791,B,Flight,4,1,269,3,medium,F,23,3652
6792,D,Ship,3,1,209,3,low,F,8,4367
6793,C,Ship,5,4,230,3,low,M,1,4727
6794,A,Ship,4,1,252,5,medium,F,1,1538
6795,B,Flight,4,3,238,2,medium,M,43,2200
6796,C,Ship,4,2,246,3,high,M,5,5960
6797,C,Ship,3,2,173,3,medium,F,37,1990
6798,A,Ship,6,1,282,4,low,M,1,1434
6799,A,Flight,3,3,176,3,medium,M,14,1705
6800,F,Ship,3,5,146,3,medium,F,7,4126
6801,A,Road,3,5,246,3,low,F,2,5556
6802,F,Road,3,1,257,2,low,M,6,4897
6803,F,Ship,4,1,191,3,high,F,6,5335
6804,B,Ship,5,1,233,3,low,F,6,5560
6805,D,Road,6,5,278,4,medium,F,6,1140
6806,A,Ship,3,1,194,4,low,F,8,4308
6807,C,Ship,4,3,257,3,medium,M,1,5717
6808,F,Ship,5,1,258,5,high,F,9,1856
6809,C,Ship,6,3,153,6,medium,F,7,4975
6810,A,Flight,3,4,230,3,medium,F,7,5891
6811,C,Ship,3,3,175,3,high,F,45,1212
6812,D,Road,3,4,212,3,low,M,6,5935
6813,B,Ship,4,1,145,6,low,M,32,1673
6814,C,Flight,4,3,241,2,medium,F,4,5942
6815,C,Ship,3,5,194,4,low,M,1,5534
6816,B,Ship,3,3,181,3,medium,F,3,5620
6817,D,Ship,4,1,231,3,medium,M,5,4118
6818,C,Ship,5,4,179,6,medium,F,8,4615
6819,D,Ship,6,4,276,4,low,F,2,1120
6820,C,Ship,4,1,155,3,medium,M,9,4443
6821,A,Ship,5,3,219,6,low,F,9,1019
6822,C,Flight,4,5,259,5,medium,M,2,1066
6823,B,Ship,3,2,198,4,low,F,3,4172
6824,F,Road,6,5,130,6,low,F,60,1971
6825,A,Flight,7,5,302,4,low,M,3,1597
6826,A,Ship,6,5,258,4,low,M,5,1558
6827,F,Road,5,1,199,2,medium,M,7,4660
6828,F,Ship,4,4,267,5,medium,F,9,1716
6829,B,Ship,6,1,261,4,medium,F,8,1524
6830,D,Ship,4,4,279,5,medium,F,56,2697
6831,F,Ship,5,3,242,5,low,F,9,1716
6832,F,Road,5,2,198,3,low,F,8,4680
6833,D,Flight,4,3,244,4,low,M,10,4118
6834,F,Ship,4,4,242,6,low,F,9,1192
6835,C,Flight,4,1,174,3,low,F,8,5549
6836,C,Ship,4,2,243,3,medium,F,13,2850
6837,B,Flight,4,3,262,2,medium,F,3,4064
6838,F,Ship,3,1,203,10,medium,F,7,5917
6839,F,Ship,4,3,254,5,low,F,3,1248
6840,D,Ship,5,3,210,3,medium,M,9,5912
6841,D,Ship,5,4,243,6,medium,F,1,4170
6842,F,Ship,3,5,251,2,low,M,4,4015
6843,F,Ship,4,4,241,3,high,M,39,3798
6844,A,Ship,2,4,166,3,low,M,8,4968
6845,F,Ship,3,3,201,2,low,F,2,5361
6846,F,Flight,3,1,194,2,low,M,8,4335
6847,B,Road,3,3,151,3,low,F,24,1139
6848,F,Flight,4,4,143,8,medium,M,12,1326
6849,F,Flight,4,4,179,3,medium,F,3,5624
6850,A,Ship,4,5,223,5,medium,M,4,4704
6851,F,Ship,4,5,187,3,low,M,7,5022
6852,F,Ship,3,1,250,3,low,F,8,3617
6853,F,Road,4,3,147,4,low,F,7,4865
6854,F,Ship,5,1,257,6,low,F,1,1150
6855,F,Flight,4,1,210,2,medium,F,7,3405
6856,F,Ship,3,1,143,2,low,F,63,1246
6857,D,Flight,4,3,202,3,low,M,7,5678
6858,A,Ship,3,1,231,3,low,M,1,5392
6859,C,Ship,6,2,245,4,low,F,8,1904
6860,C,Ship,5,2,254,6,low,M,5,1885
6861,A,Ship,2,3,141,2,medium,F,28,1624
6862,F,Road,5,4,140,4,high,F,5,1130
6863,B,Road,3,1,242,4,low,M,10,4809
6864,B,Road,4,5,213,3,medium,F,7,4114
6865,D,Road,4,2,253,5,low,F,3,4676
6866,C,Ship,4,3,229,2,medium,F,8,5868
6867,A,Road,4,5,169,4,low,M,5,5347
6868,C,Ship,4,4,247,6,low,F,4,1044
6869,F,Flight,4,4,282,6,medium,F,52,3009
6870,B,Flight,4,2,267,5,low,F,2,1876
6871,B,Ship,4,3,261,3,low,F,10,2802
6872,D,Road,6,3,244,4,low,F,1,1317
6873,F,Ship,5,4,222,3,low,M,7,5340
6874,F,Ship,3,1,173,2,medium,F,4,5521
6875,C,Ship,3,2,154,2,high,F,4,1009
6876,C,Ship,6,3,286,4,low,M,5,1750
6877,A,Ship,5,5,218,5,medium,F,7,1692
6878,F,Ship,3,3,169,2,medium,F,8,4281
6879,A,Ship,4,3,261,3,low,F,6,2787
6880,C,Flight,3,3,154,2,low,M,1,5884
6881,F,Ship,4,3,257,3,low,F,1,5843
6882,B,Ship,6,5,165,6,low,F,6,1529
6883,B,Ship,7,4,289,4,low,M,1,1657
6884,A,Ship,2,5,247,4,medium,M,4,5255
6885,F,Road,4,2,223,5,medium,M,3,1395
6886,C,Ship,4,3,159,5,low,M,4,4666
6887,B,Flight,6,5,225,3,medium,M,10,4972
6888,F,Ship,5,5,135,3,low,F,4,5734
6889,F,Ship,4,5,238,3,low,M,9,1724
6890,A,Ship,4,5,205,3,low,F,60,2317
6891,F,Ship,5,1,221,6,medium,F,7,1841
6892,F,Ship,5,3,149,7,medium,F,51,1425
6893,B,Road,3,2,158,3,medium,F,39,1512
6894,F,Ship,4,3,243,5,medium,F,3,1634
6895,C,Ship,4,4,202,4,medium,M,4,4053
6896,F,Flight,4,1,271,4,medium,F,2,4133
6897,F,Road,4,4,269,5,medium,F,2,1473
6898,F,Ship,4,1,165,4,medium,F,34,1831
6899,B,Flight,4,2,273,5,medium,F,6,2126
6900,F,Flight,3,2,219,6,low,F,9,5263
6901,A,Road,4,2,164,4,low,M,2,5008
6902,F,Ship,4,4,218,2,medium,M,3,5039
6903,C,Ship,5,5,249,5,medium,M,5,1662
6904,D,Road,3,4,204,3,low,F,49,3225
6905,F,Road,3,5,226,2,medium,M,3,4208
6906,C,Flight,4,4,260,3,low,M,9,4224
6907,A,Ship,6,4,121,5,low,M,23,1734
6908,F,Ship,4,4,201,2,medium,M,7,4320
6909,D,Ship,4,1,191,3,low,F,8,4021
6910,D,Flight,4,1,173,4,low,F,5,5530
6911,D,Road,5,3,217,3,low,M,6,4934
6912,F,Ship,4,3,253,5,low,M,6,1367
6913,F,Ship,4,4,182,3,medium,F,8,5453
6914,C,Road,3,1,262,2,low,F,28,2940
6915,C,Ship,4,2,273,4,low,F,26,3223
6916,D,Ship,3,1,183,4,low,M,5,5326
6917,D,Ship,7,1,290,4,low,M,4,1488
6918,A,Road,5,3,168,3,medium,F,2,5986
6919,D,Ship,3,3,181,3,low,F,1,5094
6920,B,Flight,5,3,230,5,medium,M,4,1123
6921,B,Ship,4,5,241,4,medium,M,58,2874
